tick,peak,mass
0,1.0,1.0
1,0.5,1.0
2,0.375,1.0
3,0.3125,1.0
4,0.2734375,1.0
5,0.24609375,1.0
6,0.2255859375,1.0
7,0.20947265625,1.0
8,0.196380615234375,1.0
9,0.1854705810546875,1.0
10,0.17619705200195312,1.0
11,0.16818809509277344,1.0
12,0.1611802577972412,1.0
13,0.15498101711273193,1.0
14,0.14944598078727722,1.0
15,0.14446444809436798,1.0
16,0.13994993409141898,1.0
17,0.13583375955931842,1.0
18,0.13206059957155958,1.0
19,0.1285853206354659,1.0
20,0.12537068761957926,1.0
21,0.12238567124768451,1.0
22,0.11960417871932805,1.0
23,0.11700408787760352,1.0
24,0.11456650271348678,1.0
25,0.11227517265921705,1.0
26,0.11011603472346287,1.0
27,0.1080768488952506,1.0
28,0.10614690516497827,1.0
29,0.10431678611040968,1.0
30,0.1025781730085695,1.0
31,0.10092368634714097,1.0
32,0.09934675374796688,1.0
33,0.09784149990330072,1.0
34,0.09640265431648748,1.0
35,0.09502547354053767,1.0
36,0.09370567529691909,1.0
37,0.09243938238750127,1.0
38,0.09122307472450783,1.0
39,0.09005354812547568,1.0
40,0.08892787877390725,1.0
41,0.08784339244739617,1.0
42,0.08679763777540335,1.0
43,0.08578836291754983,1.0
44,0.08481349515712314,1.0
45,0.08387112298871065,1.0
46,0.08295948034752901,1.0
47,0.08207693268425742,1.0
48,0.08122196463546308,1.0
49,0.08039316907795835,1.0
50,0.07958923738717877,1.0
51,0.078808950746128,1.0
52,0.07805117237356907,1.0
53,0.07731484055872408,1.0
54,0.07659896240540257,1.0
55,0.07590260820171707,1.0
56,0.07522490634277319,1.0000000000000002
57,0.07456503874327518,1.0
58,0.0739222366851435,1.0
59,0.07329577705221854,0.9999999999999998
60,0.07268497891011672,1.0
61,0.07208920039446001,1.0
62,0.07150783587514987,1.0000000000000002
63,0.07094031336820424,0.9999999999999998
64,0.07038609217001515,1.0
65,0.06984466069178426,1.0
66,0.06931553447442226,1.0
67,0.06879825436640417,1.0
68,0.06829238484900414,0.9999999999999999
69,0.06779751249502587,1.0000000000000002
70,0.06731324454863283,1.0
71,0.06683920761519173,0.9999999999999997
72,0.06637504645119735,1.0
73,0.06592042284536724,1.0000000000000002
74,0.06547501458289853,1.0
75,0.06503851448567921,1.0
76,0.06461062952195762,0.9999999999999998
77,0.06419107997960725,1.0
78,0.0637795986976867,1.0
79,0.06337593035149881,1.0
80,0.06297983078680193,1.0
81,0.06259106639922908,1.0
82,0.06220941355533133,1.0
83,0.06183465805198596,1.0
84,0.0614665946112003,1.0
85,0.06110502640760497,0.9999999999999999
86,0.06074976462616536,1.0
87,0.060400628047854,0.9999999999999998
88,0.06005744266121838,1.0
89,0.05972004129795301,1.0
90,0.059388263290741976,1.0000000000000002
91,0.05906195415178161,0.9999999999999998
92,0.05874096527052161,1.0
93,0.0584251536292818,0.9999999999999999
94,0.05811438153550843,0.9999999999999998
95,0.05780851636953126,0.9999999999999998
96,0.05750743034677222,0.9999999999999998
97,0.05721100029343693,1.0
98,0.05691910743479507,0.9999999999999999
99,0.056631637195222954,1.0
100,0.056348479009243696,1.0
101,0.05606952614285724,0.9999999999999997
102,0.0557946755245047,0.9999999999999999
103,0.05552382758505874,1.0
104,0.05525688610627604,1.0
105,0.05499375807718801,1.0
106,0.054734353557942775,1.0
107,0.05447858555064623,1.0
108,0.05422636987678026,1.0
109,0.05397762506080658,0.9999999999999999
110,0.053732272219590205,1.0
111,0.053490234957302034,1.0
112,0.05325143926548236,1.0
113,0.053015813427968725,1.0
114,0.0527832879304103,1.0
115,0.05255379537411013,1.0
116,0.05232727039395226,1.0
117,0.05210364958018699,0.9999999999999999
118,0.051882871403861906,1.0
119,0.051664876145699055,1.0000000000000002
120,0.05144960582823217,0.9999999999999999
121,0.05123700415102859,1.0
122,0.05102701642883113,1.0
123,0.05081958953246647,0.9999999999999999
124,0.050614671832374135,1.0
125,0.05041221314462038,1.0
126,0.050212164679268555,1.0
127,0.050014478990985406,1.0
128,0.04981910993176975,1.0000000000000002
129,0.04962601260569653,1.0
130,0.049435143325575664,0.9999999999999999
131,0.04924645957143048,1.0
132,0.04905991995070604,1.0000000000000002
133,0.04887548416012338,1.0
134,0.048693112949098984,1.0
135,0.04851276808465489,1.0
136,0.04833441231774762,1.0
137,0.048158009350949084,0.9999999999999999
138,0.047983523807415385,0.9999999999999999
139,0.04781092120108355,1.0
140,0.047640167908039044,0.9999999999999998
141,0.04747123113900019,1.0
142,0.047304078912868246,1.0
143,0.047138680031294955,1.0
144,0.046975004054221225,0.9999999999999999
145,0.0468130212763438,1.0000000000000002
146,0.04665270270446837,0.9999999999999999
147,0.046494020035710126,0.9999999999999999
148,0.04633694563650425,0.9999999999999999
149,0.04618145252239126,1.0
150,0.0460275143385436,0.9999999999999999
151,0.045875105341001456,1.0000000000000002
152,0.045724200378587446,1.0
153,0.04557477487547163,0.9999999999999999
154,0.045426804814359095,1.0000000000000002
155,0.0452802667202739,1.0000000000000002
156,0.04513513764491512,0.9999999999999999
157,0.0449913951515606,1.0
158,0.044849017300496334,1.0000000000000002
159,0.04470798263494984,1.0000000000000002
160,0.044568270167507064,0.9999999999999999
161,0.0444298593669933,1.0
162,0.04429273014579945,1.0000000000000002
163,0.044156862847636,0.9999999999999999
164,0.04402223823569766,1.0000000000000002
165,0.04388883748122242,0.9999999999999998
166,0.04375664215242986,1.0
167,0.0436256342038235,1.0
168,0.04349579596584365,1.0
169,0.043367110134856716,0.9999999999999998
170,0.04323955976346867,1.0
171,0.04311312825114978,0.9999999999999999
172,0.04298779933515935,1.0000000000000002
173,0.04286355708175885,1.0
174,0.04274038587770288,1.0
175,0.042618270421997465,0.9999999999999999
176,0.04249719571791598,0.9999999999999998
177,0.0423771470652631,0.9999999999999998
178,0.04225811005287786,1.0
179,0.04214007055136701,0.9999999999999999
180,0.04202301470606041,1.0
181,0.041906928930180526,1.0
182,0.04179179989821831,1.0
183,0.04167761453950819,1.0000000000000002
184,0.041564360031995026,1.0000000000000002
185,0.04145202379618658,0.9999999999999999
186,0.041340593489284566,1.0
187,0.041230056999488486,0.9999999999999999
188,0.04112040244046605,0.9999999999999999
189,0.041011618145984544,1.0
190,0.04090369266469753,1.0
191,0.04079661475508183,1.0000000000000002
192,0.040690373380519326,1.0
193,0.04058495770451916,1.0000000000000002
194,0.0404803570860752,0.9999999999999998
195,0.04037656107515461,1.0000000000000002
196,0.0402735594083128,0.9999999999999999
197,0.04017134200443113,0.9999999999999999
198,0.04006989896057269,0.9999999999999999
199,0.03996922054795287,0.9999999999999999
200,0.039869297208020585,1.0
